"y\x",0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127
11,"#","U","U",,"U","U","U","U","U","U","U","U",,,,,,,,,,,,,,,,,,,,,"W","W","W","W","W","W","W",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"T",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"R",,,,"U","U","U","U","U","U","U","U","U","#"
12,"#","U","U","U","U","U","U","U","U","U","U","U","U",,,,,,,,,,,,,,,,,,,,"W","W","W","W","W","W","W",,,,,,,,,,,,,,"T",,,,,,,,,,,"G",,,"T",,,,,,,,,,,,,,,,,,,,"T",,,,"H",,,,,,,,,,,,,,,,,,,,,,"T",,"R",,,,"U","U","U","U","U","U","U","U","U","#"
13,"#","U",,"U","U","U",,"U","U","U",,,,,,,,,,,,,,,,,,,,,,,,"W","W","W","W","W","W","W",,,,,,"H","T","T","T",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"T",,,,,,,,,,"T",,,,"R",,,,,"U","U","U","U","U","U","U","U","#"
14,"#","U",,"U","U","U",,"U","U","U",,,,,,,,,,,,,,,,,,,,,,,,,"W","W","W","W","W","W","W",,,,,"T",,,,,,,,,,,,"T",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"T",,,,,,,,"T",,,,,,,,,,,,,"R",,,,,"U","U","U","U","U","U","U","U","#"
15,"#","U","U",,"U",,"U","U","U","U",,"P",,"R","R","R",,,,,,,,,,,,,,"T","H",,,,"W","W","W","W","W","W","W",,,,,,,,,,,,,,,,,,,,,,"T",,,,,,"T",,,,,,,,,,,"G",,,,,,,,,,,,,,,,,,,,,,,,,,"T",,"T","T",,,,,,"R",,,,,"H","U","U","U","U","U","U","U","#"
16,"#","U","U",,,,"U","U","U","U",,,,,,"R","R","R",,,,,,,,,,,,,,"T","T",,"W","W","W","W","W","W","W","W",,,,,,,,,,"T",,,,,,,,,,,,,,,,,,,,,,,"T",,,,,,,,,,,,,,,,,,,,,,,,"G",,,,,,,,,,,,"T",,,,"R",,,,,,"U","U","U","U","U","U","U","#"
17,"#","U","U","U",,"U","U","U","U","U",,,,,,,,"R","R","R",,,,,,,,,,,,,,,,"W","W","W","W","W","W","W",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"R",,,,,,,"U","U","U","U","U","U","#"
18,"#","U","U","U","U","U","U","U","U","U","U","U","U",,,,,,,"R","R","R",,,,,,,,,,,,,,,"W","W","W","W","W","W",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"T",,,,"T","H",,,,,,,,,,,,,,,,,,,,"T",,,,,,,,,,,,,,,,,,"R",,,,,,,,,"W","W","W","W","#"
19,"#","U","U",,,,"U","U","U","U","U","U",,,,,,,,,,"R","R","R",,,,,,,,,,,,,,"W","W","W","W","W","W",,,,,"G",,,,,,,,"T",,"G",,,,,,,,,,,,,"T",,,,,,"T",,,,,,,,"T",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"R",,,,,,,,,"W","W","W","W","#"
20,"#","U","U",,"U",,"U","U","U","U","U","H",,,,,,,,,,,,"R","R","R",,,,,,,,,,,,,"W","W","W","W","W",,,,,,,,"T",,,,,,,,,,,"T",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"T",,,,,,,,,,,,"T",,,,,,,,,,,,"R",,,,"T",,,"T",,"W","W","W","W","#"
21,"#","U","U",,,,"U","U","U","U","U",,,,,,,,,,,,,,,"R","R","R",,,"T",,,,,,,,"W","W","W","W","W","W",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"T",,,,,,,,,,,,,,,"G",,,,,,,,,,,,,,"T",,,,,,,"R",,,,,,,,,"W","W","W","W","#"
22,"#","U","U",,"U","U","U","U","U","U",,,,,,,,,,,,,,,,,,"R","R","R",,,,,,,,,,"W","W","W","W","W","W",,,,,,,,,,,,,,,,,,"G",,,"T",,,,,,,"T",,,,,,,,,,,,,,,,,,,,,,,,,,,,"V",,,,,,,,,,"T",,,,"R",,,,,,,,,"W","W","W","W","#"
23,"#","U","U",,"U","U","U","U","U","H",,,,,,,,,,,,,,,,,,,,"R",,,,,,,,,,"W","W","W","W","W","W",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"R",,,,,,,,,"W","W","W","W","#"
24,"#","U","U","U","U","U","U","U",,,,,,,,,"T",,,,,,,,,,,,,"R",,,,,,,,,,,"W","W","W","W","W",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"G",,,,,,,,,,,,,,,,,,,,,,,,,,,,"R",,,"T",,,,,,"W","W","W","W","#"
25,"#",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"R",,,,,,,,,,,"W","W","W","W","W","W",,,,,,,,,,,,,,"T",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"T",,,,,,,,,,,,,,,,"T",,,,,,"H",,,"R",,,,"T",,"T","T",,"W","W","W","W","#"
26,"#",,,,,,,,"H",,,,,,,,,,,,,,,,,,,,,"R",,,,,,,,,,,"W","W","W","W","W","W","W",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"T",,,,,,,"T",,,,,,,,,"T","T",,,,,,,,,,,,,,,,,,,,,,"R",,,"U",,,,,"T","W","W","W","W","#"
27,"#",,,,,,,,,,,,,,,,,,,,"T",,,,,,,,,"R",,,,,,,,,,,,"W","W","W","W","W","W","W",,,,,,,,,,,,,,,,,,,,,,,"T",,,,,,"G",,,,,,,,,,,,,,,,,"T","T",,,,,,,,,,,,,,,,,,,,"R",,"U","U","U",,,,"W","W","W","W","W","#"
28,"#",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"R",,,,,,,,,,,,,"W","W","W","W","W","W","W",,,,,,"G","T",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"T",,,,,"H","T",,,,,"T",,,,,,,,,,,,,"R",,"U","U","U",,,,"W","W","W","W","W","#"
29,"#",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"R",,,,,,,,,,,,,"W","W","W","W","W","W","W","W",,"T",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"T",,,,,,,,,,,,,,,,,"G",,,,,,,,,,,,,,,,"R",,"U","GRX","U",,,,"W","W","W","W","W","#"
30,"#",,,"T",,,,,,,,,,,"T",,,,,,,,,,,,,,,"R",,,,,,,,"T",,,,,"W","W","W","W","W","W","W","W",,,,,,,,,,,,,,"T","H",,,,,,,,,,,,,,,,,,,,"H",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"R",,,,,,,,"W","W","W","W","W","#"
31,"#",,,,,,,,,,,,,,,,,,,,,"H",,,,,,,,"R",,,,,,,,,,,,,,"W","W","W","W","W","W","W","W",,,,,,,,,,,,,,,,,,,,,,,,"T",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"T",,,,,"R",,,,,,,,"W","W","W","W",,"#"
32,"#",,,,,,,,,,"T",,,,,,,,,,,,,,,,,,,"R",,,,,,,,,,,,,,,"W","W","W","W","W","W","W",,,,,,"T",,,,,,,,,,,,"T",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"T",,,,,,,,,,,"R",,,,,"H",,,"W","W","W","W",,"#"
33,"#",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"R",,,,,,,,,,,,"T",,,"W","W","W","W","W","W","W","W",,,,,,,,,,,,,,,,,,,,,,,,,,,"H",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"R",,,,,,,,"W","W","W","W",,"#"
34,"#",,"T",,,,,,,,,,,,,,,,,"T",,,,,,,,,,"R",,,,,,,,,,,,,,"T","T","W","W","W","W","W","W","W",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"T",,,,,,,,,,,,,,,,"T",,,,,,,,"R",,,,,,,,"W","W","W","W",,"#"
35,"#",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"R",,"T",,,,,,,,,,,,,,"W","W","W","W","W","W","W",,,,,,,,,"T",,,,,,,,,"G",,,,,,,,,,,,,,,"T",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"R",,"T",,,,,"W","W","W","W","W",,"#"
36,"#",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"R",,,,,,,,,,,,,,,,"W","W","W",,,,"W","W",,,,,,,,,,,,,,,,,,,"T",,,,,,,,,,,,,,,,,,,,,"H",,,,,,,,"T",,,,,,,,,,,,,,"R",,,,,,,"W","W","W","W","W",,"#"
37,"#",,,,,,,,,,,,"T",,,,,,,,,,"T",,,,,"T",,"R",,,,,,,"T",,,,,,,,,,"W","W",,"T",,"W","W",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"T",,,"R",,,,,,,"W","W","W","W","W",,"#"
38,"#",,,,"H",,,,,,,,,,,,,,,,,,,,,,,,,"R",,,,,,,,,,,,,,,"T",,"W","W",,,,"W","W",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"T",,,,,,,,,,,"H",,,,,,,,"R",,,,,,,"W","W","W","W","W",,"#"
39,"#",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"R",,,,,,,,"H",,,,,,,,,"H","W","W","W","W","W","W","W",,"T",,,,,"H",,,,,,,"T",,,,,,,,,,"T","T",,,,,,,,,,,,"T",,,,,,,,,,,,,,,,,,,,,,,,"R",,,,,,,"W","W","W","W","W",,"#"
40,"#",,,,,,,,,,,,,,,,"T",,,,,,,,,,,,,"R",,,,,,,,,,,"T","H",,,,,,"W","W","W","W","W","W","W",,,,,,,,,"T",,,,,,,,,,,,,,,,,,,,,,,,"T",,,,,,,,,,,,,,,,,,,,,,,,,,,,"R",,,,,,,"W","W","W","W","W",,"#"
41,"#",,,,,,,,,,,,,,,,,,,,,,,"T",,,,,,"R",,,,,,,,,,,,,,,,,,,"W","W","W","W","W","W",,,,,,,,,,,,,"T",,,"T",,,,,"T",,,,,,,"T","T",,,,,,,,,,,,,,,,,,,,"T",,,,,,,,,,,,"R",,,,,,,"W","W","W","W","W",,"#"
42,"#",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"R","R","R",,,,,,,,,,,,,,,,,,"W","W","W","W","W",,"T",,,,,,,,,,,,,,,,,,,,,,,,"T",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"R",,,,,,,"W","W","W","W","W",,"#"
43,"#",,,,,,,,,,,,"T",,,,,,,,"T",,,,,,,,,,,"R","R","R",,,,,,,,,,,"T",,,,,"W","W","W","W","W","W",,,,,,,,,,,,,,,,,,"T",,,,,,,,,,,,,,,,,,,,,,,,,,"T",,,,,,,,,,,"T",,,,,"R",,"R","R","R","R","R","R","R","R","R","R","R","#"
44,"#",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"R","R","R","R",,,,"T",,,,,,,,,"H","W","W","W","W","W",,,,,,,,,,,,,,"T",,"T",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"H",,,,,,,,,,,,"R","R","R","R",,,,"W","W","W","W",,,"#"
45,"#",,,,"T",,,,,,,,,,,,,,,,,,"T",,,,,,,,,,,,,,"R",,,,,,"V",,,,,,,,,"W","W","W","W",,,"T",,,"T",,,,,,,,,,,,,,,"T",,,,,,,,,,"U","U","U","U","U",,,,"T",,,,,,,,,,,,,,,,,,,"R","R","R","R",,,,,,"W","W","W","W",,,"#"
46,"#",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"T",,,,,,"R",,"T",,,,,,,,,,,,"T","W","W","W","W","W",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"U","U","U","U","U",,,,,,,,,,,,,,,,,,,,,"R","R","R","R",,,,,,,,"W","W","W","W",,,"#"
47,"#",,,,,,,,,,,,,,"H",,,,,,,,,,,,,,,,,,,,,,"R",,,,,,"H",,,,"H",,,,,"H","W","W","W","W",,,,,,,,,,,"H",,,,,,,,,,,,,"T",,,,,,"U","U","U","U","U",,,,,,,,,,,,,,,,,,,"R","R","R","R",,,,,,,,,,"W","W","W","W",,,"#"
48,"#",,,,,,,,,,,,,,,,,,"T",,,,,,,,,,,,,,,,,,"R",,,,,,,,,,,,,,,"T","W","W","W","W","W",,,,,,,"T","T",,,,"T",,,,,,,,"T",,,,,,,,,"U","U","U","U","U",,,,,,,,,,,,,,,,,"R","R","R","R",,,,,,,,,,,,"W","W","W","W",,,"#"
49,"#",,,,,,,,,,,,,,,,,,,,,,,,,,,"T",,,,,,,,,"R",,,,,,,,,,,,,,,,"W","W","W","W","W",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"U","U","U","U","U",,,,,,,,"T","T",,,,,"R","R","R","R",,,,,,,,,,,,,,,"W","W","W","W",,,"#"
50,"#",,,,,,,,,,"T",,,,,,,,,,,,,,,,,,,,,,,,,,"R",,,,,,"T",,,,,,,,,,"W","W","W","W","W","W",,,,,,,,,,,,,,"T",,,,,,,,,,,,,"H","U","U","U","U","U","H",,,,,,,,,,"R","R","R","R",,,,,,,,,,,,,,,,,,"W","W","W","W",,,"#"
51,"#",,,,,,,,,,,,,,,,,,,,,,,"H",,,,,,,,,,,,,"R",,,"H",,,,,"H",,,,,,,,"W","W","W","W","W","W","W",,,,,,,,,,,,,,,,,,,,,,,,,,"T","U",,"LUC",,"U","T",,,,,,,,"R","R","R",,"T",,,,,,,,,,,,,,,,,,,"W","W","W","W",,,"#"
52,"#",,,"T",,,,,,,,,,,,,,,,,,,,,,,,,,,,"H",,,,,"R",,,,,,,,,,,,,,"WBD","R","R","=","=","=","=","=","R","R",,,,,,,,,,,,,,,,,,"T",,,,,,,,,,,,,,,,,,,"R","R","R",,,,,"T","T",,,,,,,,,,,,,,,,,"W","W","W","W",,,"#"
53,"#",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"R",,,,,,,,,,,,,,,"R","R","=","=","=","=","=","R","R","R","R","R","R","R",,,,,,,,,,,,,,,,,"T",,"T","H",,,,,,,,,"R","R","R","R",,,"T",,,,,,"T",,"T",,,,,,,,,,,,,"W","W","W","W","W",,,"#"
54,"#",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"R",,,,,,,,,,,,"R","R","R","R",,"W","W","W","W","W","W",,,,,,"R","R","R","R","R",,,,,,,,,,,,,,,,,,,,"R","R","R","R","R","R",,,,,,,,,,,,,,,,,,,,,,,,"S",,,"W","W","W","W","W",,,"#"
55,"#",,,,,,,,,,,,,,,,,,,,,,,,,,,,"T",,,,,,,,"R",,,,,,,,,"R","R","R","R",,,,,"W","W","W","W","W","W","W",,,,,,,,,"R","R","R","R","R","R","R","R","R","R","R","R","R","R","R","R","R","R","R","R","R",,,,,,,,,,,,,,,,,,,,,"T","T",,"S",,,,,,,,"W","W","W","W","W",,,"#"
56,"#",,,,,,,,,,,,,,,"H",,,,,,,,,,,,,,,,,"T",,,,"R","R","R","R",,,"R","R","R","R",,,,,,,,"H",,"W","W","W","W","W","W",,,,,,,,,,,,,,,,,,,,,,,,,,,,"T",,,,,,,,,,,,,,,,,,,,,,,"T",,,,"T",,,,,"W","W","W","W","W",,,"#"
57,"#",,,,,,"H",,,,,,,,,,,,,,,"T",,,,,,,,,,,,,,,,,,"R","R","R","R",,,,,,,,,,,,"T",,"W","W","W","W","W","W",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"T","W","W","W","W","W",,,"#"
58,"#",,,,,,,,,,,,,,,,,,,,,,"T",,,,,,,,,,,,,,,,,"R",,,,,,,,,,,,,,,,,,"H","W","W","W","W","W",,,,"T",,,,"T",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"H",,"T",,,,,,,,,,,,,,,,"W","W","W","W","W",,,"#"
59,"#",,,,,,,,,,,"T",,,,,,,,,,,,"T",,,,,,,,,,,,,,,,"R",,,,,,,,,,,"H",,,,,,,,"W","W","W","W","W","W","T",,,,,,,,,,,,"T",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"T","H","S",,,,,,,"S",,,,"W","W","W","W","W",,,,"#"
60,"#",,,,,,,,,,,,,,,,,,,,,,,,,"T",,,,,,,,,"H",,,,,"R",,,,,,"H",,,,,,,,,,,,,"W","W","W","W","W","W","W",,,,,,,,,,,,,,,,,,"T",,,,,,,,,,,,,,,,,"S",,,,,,,,,,,"T","T",,,,,,,,"W","W","W","W","W",,,,"#"
61,"#",,,,,,,,,,,,,,,,,,,,,,,,,,"T",,,,,,,,,,,,,"R","H",,,,,,,,,,,,,"V",,,"H",,"W","W","W","W","W","W","W","W",,,,"H",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"T","T","T",,,,"W","W","W","W","W",,,,"#"
62,"#",,,,,,,,,,,,,,,,,,,,,,,,,,,"T",,,,,,,,,,,,"R",,,,,,,"T",,,,,,,,,,"W","W","W","W","W","W","W","W","W","W","W",,,,,,,,,,,,,,,,,,,,,,"S",,,,,,"S",,,,,,,"T",,"S",,,,,,,,,,,,,,"T",,"W","W","W","W","W",,,,"#"
63,"#",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"T",,,,,,,,,,"R",,,,,,,,"H",,,,,,,,,"W","W","W","W",,,"W","W","W","W","W","W","W",,,,,,,,,,,,"H",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"S",,,,,,,,,"W","W","W","W","W","W",,,,"#"
64,"#",,,,"H",,,,,,,,,,,,,,,,,,,,,,,,,,"T",,,,,,,,,"R",,,"T",,,,,,,,,,,,,"W","W","W","W",,,,"W","W","W","W","W","W","W","W","W",,,,,,,"S",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"S",,,,,"W","W","W","W","W","W",,,,"#"
65,"#",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"T",,,,,,,,"R",,,,,,,,,,"V",,,,,,"W","W","W","W",,,,,"W","W","W","W","W","W","W","W","W",,,,,,,,,,,,,"S",,,,,,,,,,,,,,,"S",,,,,,"T","T",,,,,,,,,,,,"W","W","W","W","W","W",,"T",,"#"
66,"#",,,,,,,,,,"U","U","U","U","U","U","U","U","U",,,,,,"U",,,,,,,,"T",,,,,,,"R",,,,,,,,,,,,,,"T",,"W","W","W",,,,,"T","W","W","W","W","W","W","W","W","W","W",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"T","T",,"T",,,,,,,"W","W","W","W","W","W","W",,,,"#"
67,"#",,,,,,,,,,"U","R","R","R","R","R","R","R","U",,,,,"U","U","U",,,,,,,,"T",,,,,,"R",,,,,,,,,,,,,,,,"W","W","W",,,,,,"W","W","W","W","W","W","W","W","W","W","W",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"S",,,,,,,,,,,,,,"T","W","W","W","W","W","W","W",,,,"#"
68,"#",,,,,,,,,,"U","R","U","R","U","R","U","R","U",,,,,,"U",,,,,,,,,,"T",,,,,"R",,,,,,,,,,,,,,,,,"T",,,,,,,,"W","W","W","W","W","W","W","W","W","W",,,"W","W",,,,,,,,,,,,,,"T",,,,,"S",,,,,,,,,"W",,,,,"S",,"T",,,,"W","W","W","W","W","W","W",,,,,"#"
69,"#",,,,,,,,,,"U","R","R","R","R","R","R","R","U",,,,,,"U",,,,,,,,,,,"T",,,,"R",,"H",,"U","U","H",,,,,,,,,,,,,,,"T",,,,"W","W","W","W","W","W","W","W","W","W","W","W","W","W",,,,,,,,,"T",,,"S",,,,,,,,,,,,,,,"W",,,,,"W","W",,,,,"W","W","W","W","W","W","W","W",,,,,"#"
70,"#",,,,,,,,,,"U","R","U","R","X","R","U","R","U",,,,,"U","U","U",,,,,,,,,,,"T",,,"R",,,"U","U","U","U",,,,,"T","H","W","W",,,,,,,,"T",,,,"W","W","W","W","W","W","W","W","W","W","W","W",,"T",,,,,,,,,,,,,,,,,,,,,"T",,,,,"W",,"M",,,,,,,,,"W","W","W","W","W","W","W","W",,,,,"#"
71,"#",,,,,,,,,,"U","R","R","R","R","R","R","R","U",,,,,"U","U","U",,,,,,"T",,,,,"T",,,"R",,,"U","U","U","U",,,,,,,,"W",,,,,,,,,,,,"W","W","W","W","W","W","W","W","W","W","W","W",,,,,,,,,,,,,,,,,,,,,,,,,"T","T",,,,,,,,,"M",,,"W","W","W","W","W","W","W","W","W",,,,,"#"
72,"#",,,,,,,,,,"U","R","U","R","R","R","U","R","U",,,,"U","U","U","U","U",,,,,,,,,,"T",,,"R",,,"U",,,"U",,,,,,,,,,,,,,,,,,,,"W","W","W","W","W","W","W","W","W","W","W",,,,,"S",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"W","W","W","W","W","W","W","W",,,"G",,,"#"
73,"#",,,"T",,,,,,,"U","R","R","R","R","R","R","R","U",,,,"U","U","U","U","U",,,,,,,,,,"T",,,"R",,,,,,,,,,,,,,,,,"V",,,,,,,,,,"W","W","W","W","W","W","W","W","W","W",,,,,,,,,,,,,,,,,,,,,,,,,"M",,,,,,,,,,,,"W","W","W","W","W","W","W","W","W",,,,,,,"#"
74,"#",,,,,,,,,,"U","U","R","R","R","R","R","U","U",,,"U","U","U","U","U","U","U",,"T",,,,,,,"T",,,"R",,,,,,,,,,,,,,,,,,,,,,,,,,,,"W","W","W","W","W","W","W","W","W",,,,,,,,"H","W",,,,,,,,,"W",,,,,,,,,,,,,,,"T",,,,"W","W","W","W","W","W","W","W","W",,,,,,,"#"
75,"#",,,,,,,,,,,"T",,,"R",,,"T",,,,"U","U","U","U","U","U","U",,,,,,,,,"T",,,"R",,,,"T",,"T",,"T",,"T",,"T",,"T",,"T",,"T",,"T",,"T",,,,,,,"W","W","W","W","W","W","W","W","W",,,,,,,"W","T",,,,,,,,,"W",,,,,,,,,,"W","W",,,,,,,,"W","W","W","W","W","W","W","W","W",,,,,,,"#"
76,"#",,,,,,,,,,,,,,"R",,,,,,,"U","U","U",,"U","U","U",,,,,,"T",,,"T",,,"R",,,,,,,,,,,,,,,,,,,,,,,,,,"T",,,,"W","W","W","W","W","W","W","W",,,,,,,"W","W",,,,,,,,,"W",,,,,,,,,"T",,"W","H",,,"M",,"W","W","W","W","W","W","W","W","W","W","W",,,,,,,"#"
77,"#",,,,,,"T",,,,,,,,"R",,,,,,,,"T",,,,"T",,,,,,,,,,"T",,,"R",,,"DAN","T",,"T",,"T",,"T",,"T",,"T",,"T",,"T",,"T",,"T",,,,,,,,"H","W","W","W","W","W","W","W",,,"M",,,,,,,,,,,"T",,,,"W",,,,,"W",,,,,,"W",,,,,"W","W","W","W","W","W","W","W","W","W",,,,,,,,"#"
